_New;New
BadExtensionDefinitionExceptionMessage;Bad extension definition for {0}
JoinDateAndDurationOfVerificationParameters;Date of verification: {0}|Verification duration: {0} seconds
IncorrectFileFormat;Incorrect file format
DateColonParameter;Date: {0}
IncorrectVersionFormatColonParameter;Incorrect version format: {0}
HourStringToTimeSpanExceptionMessage;Incorrect hour hh:mm:ss ({0}).
UserProfileAccessProblemExceptionMessage;A problem has occurred accessing to the user profile.
RestrictionTypeColonParameter;Restriction type: {0}
ColumnCountColonParameter;Column count: {0}
ColumnColonParameter;Column: {0}
TableColonParameterDotParameter;Table: {0}.{1}
RestrictionNameColonParameter;Restriction name: {0}
InitiallyDeferredColonParameter;Initially deferred: {0}
BusinessItemEmptyDefinitionMessage;Enter the SELECT clause.
BusinessItemDefinitionTooLongMessage;The SELECT clause of this business item is too long (maximum 1000 characters).
IncorrectInstallation;Incorrect installation
CollectionAlreadyBeingUpdatedExceptionMessage;The collection is already being updated.
QueryResultNotScalarExceptionMessage;The query must return one row and one column.
QueryResultEmptyMustBeSingleRowExceptionMessage;The query has not returned any records. It must return exactly 1.
QueryResultMoreThanOneRowMustBeSingleRowExceptionMessage;The query returned {0} records. It must return exactly 1.
DeveloperMode;Developer mode
ExecutingTheQuery;Executing the query
RowsHaveBeenObtainedParameter;{0} rows have been obtained
NullActionsToExecuteExceptionMessage;The actions to execute (Actions) must be defined.
ProvidedServerAddressIsMisspelledMessage;The provided server address is misspelled.
ProvidedServerAddressNotCronoServerMessage;The provided server address does not belongs to a crono server.
NullDataVariablesExceptionMessage;The variables (Data) must be defined.
ExpressionAlreadyBeenSetted;Expression already setted
InstructionNotASELECTStatement;The instruction is not a SELECT statement
UrlIncorrectFormatParameterBetweenQuotes;The url '{0}' has not a correct format.
CronoServerConnectionHasBeenEstablished;Connection to the server has been established.
ShowingPartialResults;Showing partial results.
UnneededCallExceptionMessage;Is not needed to call here
UrlNotUsingS3ProtocolExceptionMessage;The url does not use the s3 protocol
Columns;Columns
BusinessItem;BusinessItem
_Default;Default
Values;Values
Action;Action
WithoutProxy;Without proxy
Configuration;Configuration
Executed;Executed
ErrorParameterParameter;Error {0} {1}
UnexpectedError;Unexpected error
_Date;Date
Information;Information
Numerical;Numerical
Job;Job
AndLowerCase;and
ParameterAndParameter;{0} and {1}
FilteredBetweenParentheses;(filtered)
SubqueryBetweenParentheses;(Subquery)
AllBetweenParentheses;(All)
OrLowerCase;or
LogLocationColon;Log location:
Warning;Warning
TextFile;Text file
BatchFiles;Batch files
CsvFiles;CSV files
ImageFiles;Image files
ExecutableFiles;Executable files
EtlFiles;ETL files
ScheduleFiles;Schedule files
SqlFiles;SQL files
TmpFiles;Tmp files
XpsFiles;XPS files
_Boolean;Boolean
_String;String
WithProxy;With proxy
LocalCube;Local cube
Count;Count
UserData;User dat
AutomaticDetection;Automatic detection
RtfFormat;RTF format
Formula;Formula
BmpImage;BMP image
EmfImage;EMF image
JpegImage;JPEG image
PngImage;PNG image
TIFFImage;TIFF image
Report;Report
GetCall;GET call
PostCall;POST call
Maximum;Maximum
Minimum;Minimum
None;None
NameColonParameter;Name: {0}
Average;Average
CronoEtlProject;Crono ETL project
TestsResults;Test results
Secondary;Secondary
Sum;Sum
CompatibleFilesParameterBetweenParenthesesBarParameterBar;Compatible files ({0})|{1}|
DeleteDirectoryConfirmation;Are you sure you want to delete this folder and all its content?
DeleteFileConfirmation;Are you sure you want to delete this file?
_404FileNotFound;404. The file path which you requested is not found
ServerIsNotInformed;The server is not informed.
ResourceDirectoryNotExistsParameterBetweenQuotes;The resource directory '{0}' does not exists
DataBaseConnectionNotExistsParameter;The database conection "{0}" does not exists.
NoDataBaseConectionEstablished;There is no connection established to a database.
ConditionNotMet;The condition is not met.
FileNotFoundParameter;Could not find the file {0}
FileNotFoundOfColon;Could not find the file of:
FileToSaveNotSpecified;The file where to save was not specified
ConnectionNotSpecified;The conection was not specified.
ServerUrlNotSpecified;The server url address was not specified
SourceCatalogOfCubeNotSet;The source catalog of this cube was not specified.
MessageOutputNotSet;The message output was not specified
CouldNotAccessToParameter;Could not access to '{0}'
CouldNotExecuteActionCorrectlyMaxIterationCount;Could not execute the action correctly, it is been reached the max iteration count.
CouldNotFindInexistentTempFile;Could not find an inexistent temporary file
CouldNotConnectMailServerCheckFieldAndRetry;Could not connect with the mail server, check fields, or try it later.
CouldNotSaveFileParameterColonParameter;Could not save the file '{0}': {1}
CannotCreateEngineUndefinedHandlerFile;Cannot create an Engine because the handler file is not defined.
CannotCreateDirectConnectionToCronoServerConnection;Cannot create a direct connection with a connection string of type Crono Server
KeyNameColonParameter;Key name: {0}
MachineNameColonParameter;Machine name: {0}
IndexNameColonParameter;Index name: {0}
PanelParameter;Panel {0}
UpdateRuleColonParameter;Update rule: {0}
DeleteRuleColonParameter;Delete rule: {0}
BadRouteDefinitionColonParameter;Bad route definition: {0}
ConditionIsMetActionsWillBeExecuted;The condition is met. The actions will be executed.
NullForEachItemsExceptionMessage;The query of the block FOR EACH (Items) must be defined.
NullForEachActionsExceptionMessage;The actions of the block FOR EACH (Actions) must be defined.
NullCronoSqlCodeToExecuteExceptionMessage;The Crono SQL code to execute (Code) must be defined.
NullConditionExceptionMessage;The condition (Condition) must be defined
DataBaseParameterBetweenQuotesHasBeenDeleted;The database '{0}' has been deleted.
FollowingActionsHaveBeenExecutedColon;The following actios have been executed:
AllAccountDataCorrectlyEvaluated;All account data have been evaluated correctly.
RecompileRequiredToIncorporateChanges;Recompile is required in order to incorporate the changes:
BadSegmentDefinitionColonParameter;Bad segment definition: {0}
DestinationTableColonParameter;Destination table: {0}
SourceTableColonParameter;Source table: {0}
HasDiferentFilesCountDotParameterBetweenParentheses;They have diferent number of files. ({0})
HasDiferentSubfoldersCountDotParameterBetweenParentheses;They have diferent number of subfolders. ({0})
UnsupportedDataTypeColonParameter;Unsupported data type: {0}
DataTypeColonParameter;Data type: {0}
UserColonParameter;User: {0}
UndefinedVariableInDictionaryKeyColonParameterBetweenParentheses;Undefined variable in the dictionary (key: {0})
ParameterEmpty;{0} empty
ParameterRowsRead;{0} rows read.
ParameterCorrectlyExecuted;{0} correctly executed
ParameterRecordsAffected;{0} records affected.
FileRemovedFromRecentList;File removed from recent list
FileNotExistsColon;The file does not exists:
ItemNotFoundColon;Item not found:
DataSourceIsNotInformed;DataSource is not informed.
CouldNotAccessToRouteParameterBetweenQuotes;Could not access to the route '{0}'
CronoBusinessIntelligencePlatform;Crono Business Intelligence platform
InvertTableColumnXNotUniqueValues;In order to invert the table, the column {0} must have unique values.
ParameterFilteredByParameter;{0} filtered by {1}
PrintableReport;Printable report
ValuesLowercase;values
ValueLowercase;value
Properties;Properties
Update;Update
Help;Help
Connection;Connection
Query;Query
Options;Options
Open;Open
Close;Close
Delete;Delete
Modify;Edit
Table;Table
Tables;Tables
File;File
Copy;Copy
Status;Status
Image;Image
Parameter;Parameter
DatabaseColonParameter;Database: {0}
View;View
NewDocument;New document
CheckJoins;Check joins
Folder;Folder
Scheme;Scheme
CreationDate;Creation date
Database;Database
LastModification;Last modification
Name;Name
Multivalue;Multivalue
ActionColon;Action:
DateColon;Date:
AllRightsReserved;All rights reserved.
Hyperlink;Hyperlink
Obsolete;Obsolete
ErrorReadingParameter;Error reading {0}
NotKnownNamespaceParameterBetweenQuotes;Not known namespace '{0}'
CouldNotSaveOnTheServerParameterBetweenParentheses;Could not save on the server ({0})
NotSupportedResponseParameterBetweenParentheses;Not supported response ({0})
CssSelectorAbsentOrBadlyDefined;CSS selector absent or badly defined.
Yes;Yes
ItMustOnlyBeCalledIfTheNodeIsFile;It must only be called if the node is <file>.
AnItemWithSameKeyParameterBetweenQuotesWasAlreadyAdded;An item with the same key '{0}' was already added
Group;Group
UnrecognizedTransformationType;Unrecognized transformation type
SystemLanguage;System language
Spanish;Spanish
English;English
Equal;Equal
InTheList;In the list
Distinct;Distinct
OutOfTheList;Out of the list
LessThan;Less than
GreaterThan;Greater than
LessThanOrEqualTo;Less than or equal to
GreaterThanOrEqualTo;Grater than or equal to
Between;Between
Contains;Contains
NotContains;Not contains
StartsWith;Starts with
NotStartsWith;Not starts with
EndsWith;Ends with
NotEndsWith;Not ends with
LikePattern;Like pattern
NotLikePattern;Not like pattern
IsNull;Is null
IsNotNull;Is not null
That;That
ThatNot;That not
InSubQuery;In subquery
NotInSubquery;Not in subquery
Key;Key
Value;Value
Add;Add
Up;Up
Down;Down
Executing;Executing
Variable;Variable
Queries;Queries
SendEmailParameterBetweenParentheses;Send email ({0})
FileOfParameterMbUploadedToColonParameter;File of {0}Mb  uploaded to: {1}
CurrentlyOnlyCompressedCopiesSupported;Currently only compressed copies (.zip) are supported
DataBasePatternBetweenParenthesesColon;Database (pattern):
EachMarkdownbuilderCanOnlyBeUsedOnce;Each Markdownbuilder can only be used once.
UnknownFileContent;Unknown file content.
ExcelContentNotDefined;Content of the excel not defined
EmailNotSendedParenthesesBecauseIsTesting;Email not sended (because it's testing).
SourceMustBeSpecified;A source must be specified
TheDestinationFileOutputMustBeDefined;The destination file (Output) must be defined.
TablesBetweenQuotesPropertyMustBeDefined;'Tables' property must be defined
DuringTestsNotPublished;During the tests it is not published
TheCubeHasBeenGeneratedCorrectly;The cube has been generated correctly
TheFileMustHaveZipExtension;The file must have ZIP extension
ExcelFileWithSeveralTableCannotUseUseExcelFilenameAsTableName;The ExcelFileHas several tables so it is not possible to use the option 'UseExcelFilenameAsTableName'
ExistingSnapshotInDestinationFolderNotMatchLocationInSourceFolder;The existing snapshot in the destination folder does not match the location of the source folder.
ZipNotContainsSingleFile;The ZIP does not contains a single file
EnquecuedTheStatusUpdate;Enqueued the status update
ItIsNeededSmtpAccountToSendEmail;It is needed to specify an SMTP account in order to send the email.
ItIsNeededRequestUri;It is needed to specify [RequestUri]
ItIsNeededInformExcelFile;It is needed to inform the 'ExcelFile'
ItIsNeededToInformProfilesList;It is needed to inform the 'Profiles' list.
ThisDeviceNotConfiguredToUseGoogleCalendarService;This device is not configured to use the Google Calendar service.
ThisJobHasNoActionDefined;This job has no action defined.
ThisLogHasNotBeenSaved;This log has not been saved
ThisRecordBelongsAnotherDatabase;This record belongs to another database.
ThisTypeNotInheritDatabase;This type does not inherits from database
TablesStructuresNotSupported;Tables structures not supported.
EventCorrectlyRegistered;Event correctly registered.
ExcelGeneratedCorrectly;Excel generated correctly
UnknownActionExists;An unknown action exists.
MissingMemoryLocationQuestion;Missing memory location?
DatabaseRestorationHasBeenCompleted;The database restoration has been completed.
UnexpectedErrorOccurredWhileExecutingQuery;An unexpected error occurred while executing a query.
ErrorOccurredDuringCubeCreation;An error occurred during the cube creation.
DeviceIdentification;Device identification.
DestinationFolderCannotBeInsideSourceFolder;The destination folder cannot be inside the source folder.
SourceFolderCannotBeInsideDestinationFolder;The source folder cannot be inside the destination folder.
EntityNotAssociatedWithDatabase;The entity is not associated with any database.
EntityAlreadyAssociatedWithDatabase;The entity is already associated with a database.
TableStructureIsUnknown;The table structure is unknown.
ImagesNotWellSorted;The images are not well sorted
TheSourceExcelFileNotExists;The source Excel file does not exists.
ThereAreNoFilesInStage;There are no files in stage.
ThereIsNoFilePendingToLoad;There is no file pending to load
RotationSchemeNotDefined;The rotation scheme was not defined.
JoinBetweenTablesNotFound;The relation between this two tables was not found.
BaseDirectoryNotSpecified;The base directory (Directory) was not specified.
SourceDirectoryNotSpecified;The source directory (SourceDirectory) was not specified.
XmlFileNotSpecified;The XML file (File) was not specified.
AmazonBucketNameNotSpecified;The amazon bucket name was not specified.
FileNameToLoadNotSpecified;The file name to load (Filename) was not specified.
NameOfSourceDatabaseNotSpecified;The name of the source database (SourceDatabaseName) was not specified.
TargetSchemaNotSpecified;The 'TargetSchema' was not specified
BakDirectoryNotSpecified;The folder where to perform the backup (BakDirectory) was not specified
DatasetLocationNotSpecified;The 'Dataset' location was not specified
TablesToLoadNotSpecified;The table to load (Tables) were not specified.
CouldNotCreateEventInGoogleCalendar;Could not create the event in Google Calendar.
CouldNotDetermineCurrentVersion;Could not determine the current version.
CouldNotDetermineIfExistsAnyUpdateAvailable;Could not determine if exists any update available
CouldNotDeleteTheEvent;Could not delete the event.
CouldNotObtainEventInfo;Could not obtain the event information.
CannotDiscardChangesOnFileWithoutChanges;Cannot discard changes on a file without changes.
ItHasNotSenseToFindItself;It has not sense to find itself.
ServerNameColon;Server name:
NullProfileOrBadlyDefined;Null profile or badly defined.
RestoringDatabase;Restoring database.
ItIsNeededSpecifyWhereUnzip;It is needed to specify where to unzip
DestinationAmazonBucketMustBeSpecified;The destination amazon bucket (Target) must be specified.
S3BucketWhereUploadDirectoryMustBeSpecified;The S3 bucket where to upload the directory (Bucket) must be specified.
DirectoryToUploadMustBeDefined;The directory to upload (Directory) must be specified.
DestinationDirectoryMustBeSpecified;The destination directory (TargetDirectory) must be specified
SourceDirectoryMustBeSpecified;The source directory (SourceDirectory) must be specified
FolderToSynchronizeMustBeSpecified;The folder to synchronize (SourceDirectory) must be specified
BucketRegionMustBeSpecified;The bucket region must be specified.
DestinationBucketMustBeSpecified;The destination 'Bucket' must be specified.
DestinationTableMustBeSpecifiedIntoTargetTableTag;The destination table must be specified into the targetTable TAG
BackupPathMustBeSpecified;The backup path (Path) must be specified
BackupStartsAtColon;The backup starts at:
DownloadFolderMustBeDefined;The download folder (BakDirectory) must be defined
AllTablesHaveBeenGeneratedCorrectly;All tables have been generated correctly
AllProfilesMustInformTableNamesToPublish;All profiles bust inform the 'TableNames' to publish.
VerifyingAccessToken;Verifying AccessToken
DatasetRead;Dataset read
UploadCompleted;Upload completed.
SendEmail;Send email
NotExistsParameter;Not exists {0}
FailedToImportData;Failed to import data
ParameterBetweenSquareBracketsNotAResourceFolder;[{0}] is not a resource folder.
ServerBackupParameterBetweenParentheses;Server backup ({0})
DatabaseParameter;Database {0}
SearchForUpdatesParameterBetweenParentheses;Search for updates ({0})
CompressingParameter;Compressing {0}
DownloadedParameterBytesParenthesesParameterMilliseconds;Downloaded {0} bytes ({1} milliseconds).
UnknownParenthesesReleaseParameter;Unknown (release {0})
TheDirectoryDoesNotExistsParameterBetweenParentheses;The directory does not exists ({0})
TheCompressedFileParameterBetweenQuotesContainsMoreThanOneFile;The compressed file '{0}' contains more than one file.
TheFileNotWithinBaseFolderParameterBetweenParentheses;The file is not within the base folder ({0}).
TheFileDoesNotExistsParameterBetweenParentheses;The file does not exists ({0})
TheNugetPackageNotHasExpectedContentParameterBetweenParentheses;The nuget package does not have the expected content ({0})
TheZipNotContainsCompressedFolderParameterBetweenParentheses;The ZIP does not contains a compressed folder ({0}).
OldBackupDeletedColonParameter;Old backup deleted: {0}
ErrorWhileSendingEmailParameterBetweenParentheses.;Error while sending an email ({0}).
ErrorReadingWritingColonParameter;Error while reading/writing: {0}
ThisFolderAlreadyGitRepositoryParameterBetweenParentheses;This folder is already a GIT repository ({0})
FileStatusNotContemplatedParameterBetweenParenthesesAndQuotes;File status not contemplated ('{0}')
ExistsUpdateAvailableWillBeDownloadedAndInstalledAutomaticallyParenthesesUpdateColonParameter;It does exists an available update. It will be downloaded and installed automatically. (Update: {0})
ThereAreSeveralRecordsOfParameter;There are several records of {0}
FailtureHileLinkingColumnParameter;Failture while linking the column {0}
SheetParameterBetweenQuotesCreatedCorrectly;Sheet '{0}' created correctly
ImageParameter;Image {0}
TheYamlHeaderOfResourceHeaderNotCorrectParameterBetweenParenthesesAndSquareBrackets;The YAML header of the resource header is not correct ([{0}])
TheFolderParameterBetweenQuotesAlreadyExists;The folder '{0}' already exists.
QueueFullNoAdditionalMessageWillBeLoaded;The queue is full. No additional message will be loaded
TheTableParameterBetweenQuotesNotHaveRecordsBulkIsOmited;The table '{0}' does not have any record. The BULK is omited.
LastVersionAvailableIsParameterParenthesesCurrentVersionColonParameter;The last version available is {0} (Current version: {1}).
LastVersionAvailableIsParameterAlthoughWillNotBeInstalledNowBecauseCurrentExecutionModeParameterBetweenParentheses;The last version available is {0}, although it will not be installed now because of the current execution mode ({1})
ParameterReadMessages;{0} read messages
ReadingDirectoryColonParameter;Reading directory: {0}
ReadingExcelTableColonParameter;Reading Excel table: {0}
NotNeededToDeleteFileBecauseNotExistsColonParameter;It is not needed to delete the file because it does not exists: {0}
NotValidXMLFileParameterBetweenParenthesesColonParameter;It is not a valid XML file ({0}): {1}.
NotANugetPackageParameterBetweenParentheses;It is not a nuget package ({0})
NotAGitRepositoryColonParameter;It is not a GIT repository: {0}
TheSpecfiedDirectoryDoesNotExistsParameterBetweenParentheses;The specified directory does not exists ({0})
TheSearchedRecordDoesNotExistsParameter;The searched record does not exists {0}.
NotExistsAvailableUpdateParenthesesCurrentVersionColonParamether;It does not exists an available update (Current version: {0})
ThereAreNoOldBackupsPendingToDelete;There are no old backups pending to delete.
ThereIsNoRegisteredServerThatUseAmazonBucketCalledParameterBetweenQuotes;There is no registered server that use an amazon bucket called '{0}'
BranchNotFoundColonParameter;The branch was not found: {0}
NoBackupFoundInIndicatedLocationParameterBetweenParentheses;No backup found in the indicated location. ({0})
OutputFolderNotSpecifiedParameterBetweenParentheses;The output folder was not specified. ({0})
PageToGenerateNotSpecifiedParameter;The page to generate was not especified. {0}
CouldNotDeleteTheFolderParameterBetweenQuotes;Could not delete the folder '{0}'
UrlNotRecognizedAsAwsS3ValidAddressParameterBetweenParentheses;The URL is not recognized as an AWS S3 valid address ({0})
ObtainDataParameterBetweenParentheses;Obtain data ({0})
ReadyToExtractAndLoadTableDataParameter;Ready to extract and load the table data   {0}
ReadyToExtractAndLoadFileDataParameter;Ready to extract and load the file data {0}
UnexpectedProblemGeneratingThePageParameter;Unexpected problem generating the page {0}
PerformedBulkInsertOnParameter;Performed BULK INSERT on {0}.
PerformedBulkInsertonParameterParenthesesParameterReadRecords;Performed BULK INSERT on {0} ({1} read records)
ParameterMessagesWillBeEnqueueToFillTheQueue;{0} messages will be enqueue to filll the queue.
AnUnexpectedFileHasBeenDeletedColonParameter;An unexpected file has been deleted: {0}
TheBackupHasBeenCompressedColonParameter;The backup has been compressed: {0}
TheBackUpHasBeenCreatedColonParameter;The backup has been created: {0}
LoadOfParameterFilesStartsParenthesesParameterMb;Load of {0} files starts ({1} Mb.).
DownloadOfParameterIntoParameterBetweenQuotesStarts;Download of {0} into '{1}' starts
UploadToParameterInThePathParameterBetweenParenthesesStartsParenthesesParameterKb;Upload to {0} in the path '{1}' starts ({2} Kb)
UploadToParameterOfParameterBetweenParenthesesStartsParenthesesParameterKb;Upload to {0} of '{1}' starts ({2} Kb)
UploadOfParameterFilesStarts;Upload of {0} files starts.
FileSizeParameterKb;File size {0} Kb
VerifyingProfileColonParameter;Verifying profile: {0}
LookingForDifferences;Looking for differences
Quote;Quote
EmailSended;Email sended.
ViewCreation;View creation
CreateTables;Create tables
DownloadComplete;Download complete.
Decompressing;Decompressing.
RotationSchemeColon;Rotation scheme:
FileCopied;File copied.
CubeGeneration;Cube generation
GeneratingExcelEllipsis;Generating Excel...
GeneratingParameterBetweenQuotes;Generating '{0}
ReadingParameter;Reading {0}
NotDetected;Not detected
Synchronization;Synchronization
UnexpectedSituation;Unexpected situation
FrameworkDotNetColonParameter;Framework .Net: {0}
UnrecognizedActionOrJob;Unrecognized action or work.
TooManyArguments;Too many arguments.
UsageModeColonCronoConsoleDotExeSquareBracketsNameOfTheJobToExecute;Usage mode: CronoConsole.exe [name of the job to execute]
AllImagesAreAccesibleCheck;- All the images are accesibles.(✅)
SheetParameterBetweenQuotesCreatedWithTheFollowingErrorsColonParameter;Sheet '{0}' created with the following errors:|{1}
ItIsNotPossibleToCreateTheGoogleEventBecauseIsNecessaryToSpecifyTheStartDateBetweenQuotes;It is not possible to create the GoogleEvent because it is necessary to specify the 'StartDate'
ItIsNotPossibleToCreateTheGoogleEventBecauseIsNecessaryToSpecifyTheTitleBetweenQuotes;It is not possible to create the GoogleEvent because it is necessary to specify the 'Title'
TheCalendarIdHasNotBeenDefined;The CaledarID has not been defined.
Actions;Actions
ShowValues;Show values
ParameterAlreadyExistsAskWantReplaceIt;'{0}' already exists.|Do you want to replace it?
TheFolderLowerCase;the folder
TheCubeElementLowerCase;the cube element
AskWantRemoveParameterParameterBetweenQuotes;Do you want to remove {0} '{1}'?
TheDestinationFileMightNotBeSameTypeAskOverwriteServerFile;The destination file might not be the same type.|Overwrite server file?
TheFileHasBeenDeletenOnTheServerAskPublishAgain;The file has been deleted on the server.|Publish it again?
AConstructorWithASingleParameterHasNotBeenFoundInEditorParameterBetweenQuotesCreateConstructorToBeAbleToCreateNewElementsOfTypeParameterBetweenQuotes;A costructor with a single parameter was not found in the editor '{0}'.|Create the constructor to be able to create new elements of type '{1}'
AreUniqueCandidatesColon;are unique candidates:
ThisFilterAppliesToTheFollowingSheetsColonParameter;This filter applies to the following sheets: {0}
TheParametersParametersHaveNotBeenDefined;The parameters {0} have not been defined.
HyphenHyphenServiceUrlColonParameter;-- Service url: {0}
ParameterWarningColonNoViewModelsConstructorRegisteredForCollectionTypeParameter;{0} Warning: No ViewModels constructor has been registered for a collection of type '{1}'
ParameterBetweenQuotesDeletesSuccessfully;'{0}' deleted successfully.
ParameterDeletedBetweenParentheses;{0} (deleted)
NameVersionCultureLocationBarSeparated;| Name | Version | Culture | Location |
AskWantDeleteFilterParameterBetweenQuotes;Do you want to delete the filter '{0}'?
AskWantDeleteCubeParameterBetweenQuotes;Do you want to delete the cube '{0}'?
AskWantDeleteTheParameterParameter;Do you want to delete the parameter {0}?
AskWantDeleteConnectionParameterBetweenQuotes;Do you want to delete the connection '{0}'?
AskWantDeleteTheLicenseCurrentlyUsing;Do you want to delete the license you are currently using?
AskWantDeleteAllSelectedCubeElements;Do you want to delete all selected cube elements?
AskDeleteParameterBetweenQuotes;Delete '{0}'?
AskDeleteTheJobParameterBetweenQuotes;Delete the job '{0}'?
OpenAllSubfolder;Open all folders
UpdateAvailableParameterBetweenParentheses;Update available ({0})
UpdateListOfValues;Update list of values
JobManager;Job manager
AddCalculatedColumn;Add calculated column
AddCalculatedColumnElipsis;Add calculated column...
AddServerCronoExamples;Add server 'Crono examples'
TheDocumentMustBeSavedLocallyBeforePublishing;The document must be saved locally before publishing.
AllConflictsMustBeResolvedBeforeSynchronizing;All conflicts must be resolved before synchronizing
LoadedMainWindowParenthesesAfterParameterMs;Loaded MainWindow (after {0} ms)
LoadedSplashParenthesesAfterParameterMs;Loaded Splash (after {0} ms)
ConfigurationFolder;Configuration folder
CloseOtherFolders;Close other folders
CloseAllFolders;Close all folders
ValidProductKey;Valid product key.
CheckingFilesFromTheCloud;Checking files from the cloud
CheckingGitRepository;Checking git repository...
ComputerConnectionColonParameter;Computer connection: {0}
DefaultConnection;Default connection
ConfigureParameters;Configure parameters
CopySuggestedCreateTable;Copy suggested CREATE TABLE
CopyFieldList;Copy field list
CopyCommaSeparatedFieldList;Copy comma separated field list
EmailColonParameter;Email: {0}
WhenGroupColumnsExistsNeedTospecifyOrderColumns;When group columns exist, it is also necessary to specify order columns.
YouMustDefinieVariableToUseThem;You must define the variables in order to use them.
YouMustSpecifyDataBaseNameForLocalCubes;You must specify the database name for local cubes.
YouMustSpecifyConnectionName;You must specify the connection name.
YouMustSpecifyFileName;You must specify the file name
YouMustSpecifyParameterName;You must specify the parameter name
YouMustSpecifyANameForThisColumn;You must specify a name for this column.
YouMustSpecifyACorrectKeyForParameter;You must specify a correct key for the parameter
YouMustSpecifyUserOrGroup;You must specify user or group
YouMustSelectColumnsToCheck;You must select the columns you want to check.
YouMustSelectaBusinessItem;You must select a business item
YouMustSelectAnItem;You must select an item.
YouMustSelectAnAuthorizationType;You must select an authorization type
YouMustSelectAUser;You must select a user.
YouMustSelectAFolder;You must select a folder
YouMustSelectACatalogDimension;You must select a catalog dimension
YouMustSpecifyTheItemName;You must specify the item name.
DownloadingDatabase;Downloading database
WorkingDirectory;Working directory
ExpressionEditor;Expression editor
TheFileParameterBetweenQuotesIsOpenCloseItBeforeOverwriteIt;The file '{0}' is open, close it before overwrite it.
TheFileParameterBetweenQuotesContainsErrorsThatPreventSavingAskCloseWithoutSaving;The file '{0}' contains errors that prevent saving, do you want to close without saving?
TheFileContainsErrorsAndNotPossibleToSave;The file contains errors and it was not possible to save it.
TheFileDoesNotHaveTheExpectedVersion;The file does not have the expected version
TheSelectedDirectoryIsNotAGitDirectory;The selected directory is not a git directory.
TheSelectedDirectoryIsNotEmpty;The selected directory is not empty.
TheSelectedDirectoryDoesNotExists;The selected directory does not exists.
TheFileMustBeInsideParameterBetweenQuotes;The file must be inside '{0}'
TheFileIsNotAsExpected;The file has is not as expected
TheColumnNameCannotBeginWithArroba;The column name cannot begin with @.
TheObjectTypeParameterBetweenQuotesNotValidSource;The object of type '{0}' is not a valid source.
TheParameterParameterIsCatalogParameterAndCannotDelete;The parameter {0} is a catalog parameter and cannot be deleted.
TheRepositoryIsNotOnHead;The repository is not on the HEAD.
TheTextHasBeenCopiedToClipboard;The text has been copied to the clipboard.
TheTypeParameterBetweenParenthesesIsNotEnumeration;The type '{0}' is not an enumeration
TheUsesDoesNotBelongToAnyGroup;The user does not belong to any group.
TheDefaultValueIsBadlyDefined;The default value is badly defined.
SelectedValueInParameterCausesRecursionSelectAnotherValue;The selected value in {0} causes recursion, please select another value.
SelectedValuesUsesThisParameterSelectAnotherValueToAvoidRecursion;The selected value uses this parameter, please select another value to avoid recursion.
DeleteParenthesesParameterColumns;Delete ({0} columns)
DeleteSelected;Delete selected
DeleteAllColumns;Delete all columns
